Label,data
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15649279952049255, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5604370832443237, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15649279952049255, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5568580031394958, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15649279952049255, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5568580031394958, 0.8388888835906982, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5550684332847595, 0.8333333134651184, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2729531228542328, 0.5055555701255798, 0.1922900378704071, 0.4722222089767456, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5443660616874695, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5425765514373779, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5461556315422058, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5461556315422058, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5461556315422058, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5461556315422058, 0.8277778029441833, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3333333432674408, 0.1911129504442215, 0.3333333432674408]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.32777777314186096, 0.18753600120544434, 0.32777777314186096]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.32777777314186096, 0.18753600120544434, 0.32777777314186096]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.32777777314186096, 0.18109369277954102, 0.32777777314186096]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.32777777314186096, 0.18109369277954102, 0.32777777314186096]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.32777777314186096, 0.18109369277954102, 0.32777777314186096]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2698396146297455, 0.5, 0.18937797844409943, 0.46666666865348816, 0.15310296416282654, 0.3222222328186035, 0.17071865499019623, 0.3222222328186035]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.3166666626930237, 0.17071865499019623, 0.3166666626930237]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.1639205515384674, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.1639205515384674, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.16069939732551575, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.16069939732551575, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15747825801372528, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15747825801372528, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15747825801372528, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15747825801372528, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15390130877494812, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15390130877494812, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15390130877494812, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15390130877494812, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5485300421714783, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18937797844409943, 0.46666666865348816, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.31111112236976624, 0.15068015456199646, 0.31111112236976624]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
0,"[0.5503196120262146, 0.8333333134651184, 0.2667260766029358, 0.49444442987442017, 0.18646591901779175, 0.4611110985279083, 0.14971312880516052, 0.3055555522441864, 0.14066089689731598, 0.3055555522441864]"
