Label,data
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.42117244005203247, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.41318419575691223, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.39720773696899414, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.4291606843471527, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
0,"[0.07185240834951401, 0.6111111044883728, 0.36547574400901794, 0.4833333194255829, 0.11646988242864609, 0.09444444626569748, 0.17167578637599945, 0.15555556118488312, 0.405195951461792, 0.15555556118488312]"
